city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Istanbul,41.0136,28.9550,Turkey,TR,İstanbul,admin,16079000,15519267
Ankara,39.9300,32.8500,Turkey,TR,Ankara,primary,5503985,5503985
İzmir,38.4200,27.1400,Turkey,TR,İzmir,admin,4320519,4320519
Bursa,40.1833,29.0500,Turkey,TR,Bursa,admin,2901396,2901396
Antalya,36.8874,30.7075,Turkey,TR,Antalya,admin,2426356,2426356
Konya,37.8667,32.4833,Turkey,TR,Konya,admin,2232374,2232374
Gaziantep,37.0628,37.3792,Turkey,TR,Gaziantep,admin,2028563,2028563
Şanlıurfa,37.1583,38.7917,Turkey,TR,Şanlıurfa,admin,1985753,1985753
Mersin,36.8000,34.6333,Turkey,TR,Mersin,admin,1814468,1814468
Adana,37.0000,35.3213,Turkey,TR,Adana,admin,1765981,1765981
Diyarbakır,37.9100,40.2400,Turkey,TR,Diyarbakır,admin,1732396,1732396
Kayseri,38.7225,35.4875,Turkey,TR,Kayseri,admin,1389680,1389680
Samsun,41.2903,36.3336,Turkey,TR,Samsun,admin,1335716,1335716
Akçaabat,41.0167,39.5500,Turkey,TR,Trabzon,minor,1215351,123552
Denizli,37.7667,29.0833,Turkey,TR,Denizli,admin,1027782,1027782
Çankaya,39.9244,32.8856,Turkey,TR,Ankara,minor,914501,914501
Esenyurt,41.0470,28.6580,Turkey,TR,İstanbul,,891120,891120
Eskişehir,39.7767,30.5206,Turkey,TR,Eskişehir,admin,871187,871187
Seyhan,36.9831,35.3328,Turkey,TR,Adana,minor,792536,792536
Küçükçekmece,41.0000,28.8000,Turkey,TR,İstanbul,minor,770317,770317
Erzurum,39.9086,41.2769,Turkey,TR,Erzurum,admin,767848,767848
Bağcılar,41.0344,28.8564,Turkey,TR,İstanbul,,734369,734369
Pendik,40.8747,29.2350,Turkey,TR,İstanbul,minor,693599,693599
Selçuklu,37.8814,32.4922,Turkey,TR,Konya,minor,648850,648850
Yıldırım,40.1100,29.0821,Turkey,TR,Bursa,minor,643681,643681
Kartal,40.8872,29.1900,Turkey,TR,İstanbul,minor,461155,461155
Batman,37.8870,41.1320,Turkey,TR,Batman,admin,447106,447106
Esenler,41.0339,28.8903,Turkey,TR,İstanbul,,444561,444561
Kahramanmaraş,37.5833,36.9333,Turkey,TR,Kahramanmaraş,admin,443575,443575
Kâğıthane,41.0719,28.9664,Turkey,TR,İstanbul,,437026,437026
Avcılar,40.9792,28.7214,Turkey,TR,İstanbul,,435625,435625
Trabzon,41.0050,39.7225,Turkey,TR,Trabzon,admin,426882,426882
Malatya,38.3486,38.3194,Turkey,TR,Malatya,admin,426381,426381
Elazığ,38.6744,39.2228,Turkey,TR,Elazığ,admin,421726,421726
Yüreğir,36.9981,35.3439,Turkey,TR,Adana,minor,407054,407054
Hatay,36.2025,36.1606,Turkey,TR,Hatay,admin,377793,377793
Sivas,39.7500,37.0167,Turkey,TR,Sivas,admin,377561,377561
Gebze,40.8000,29.4333,Turkey,TR,Kocaeli,minor,371000,371000
Kocaeli,40.7625,29.9175,Turkey,TR,Kocaeli,admin,363416,363416
Kayapınar,37.9400,40.1900,Turkey,TR,Diyarbakır,minor,362407,362407
Manisa,38.6306,27.4222,Turkey,TR,Manisa,admin,356702,356702
Konak,38.4189,27.1285,Turkey,TR,İzmir,minor,356563,356563
Van,38.4942,43.3800,Turkey,TR,Van,admin,353419,353419
Pamukkale,37.9167,29.1167,Turkey,TR,Denizli,,346625,346625
Sarıyer,41.1669,29.0572,Turkey,TR,İstanbul,minor,342503,342503
Meram,37.8364,32.4383,Turkey,TR,Konya,minor,342315,342315
Tarsus,36.9165,34.8951,Turkey,TR,Mersin,minor,339676,339676
Balıkesir,39.6333,27.8833,Turkey,TR,Balıkesir,admin,331788,331788
Beylikdüzü,41.0011,28.6419,Turkey,TR,İstanbul,,331525,331525
Sultanbeyli,40.9683,29.2617,Turkey,TR,İstanbul,,327798,327798
Aksaray,38.3742,34.0289,Turkey,TR,Aksaray,admin,319865,319865
Alanya,36.5500,32.0000,Turkey,TR,Antalya,minor,312319,312319
Yeşilyurt,38.2961,38.2489,Turkey,TR,Malatya,minor,304839,304839
Adıyaman,37.7639,38.2778,Turkey,TR,Adıyaman,admin,304615,304615
Afyonkarahisar,38.7578,30.5386,Turkey,TR,Afyonkarahisar,admin,299673,299673
İskenderun,36.5817,36.1650,Turkey,TR,Hatay,minor,297943,297943
Battalgazi,38.4228,38.3656,Turkey,TR,Malatya,minor,295821,295821
Çorum,40.5455,34.9570,Turkey,TR,Çorum,admin,294807,294807
Güngören,41.0225,28.8717,Turkey,TR,İstanbul,,289331,289331
Çorlu,41.1500,27.8000,Turkey,TR,Tekirdağ,minor,279251,279251
Sakarya,40.7833,30.4000,Turkey,TR,Sakarya,admin,271515,271515
Arnavutköy,41.1856,28.7406,Turkey,TR,İstanbul,,270549,270549
İnegöl,40.0806,29.5097,Turkey,TR,Bursa,minor,268155,268155
Kütahya,39.4167,29.9833,Turkey,TR,Kütahya,admin,266784,266784
Osmaniye,37.0750,36.2500,Turkey,TR,Osmaniye,admin,264373,264373
Isparta,37.7647,30.5567,Turkey,TR,Isparta,admin,258375,258375
Siverek,37.7500,39.3167,Turkey,TR,Şanlıurfa,minor,258265,258265
Tuzla,40.8161,29.3006,Turkey,TR,İstanbul,,255468,255468
Kızıltepe,37.1939,40.5861,Turkey,TR,Mardin,minor,252656,252656
Uşak,38.6778,29.4042,Turkey,TR,Uşak,admin,252044,252044
Çekme,41.0369,29.1786,Turkey,TR,İstanbul,,251937,251937
Büyükçekmece,41.0200,28.5775,Turkey,TR,İstanbul,minor,247736,247736
Beykoz,41.1342,29.0922,Turkey,TR,İstanbul,minor,246700,246700
Düzce,40.8417,31.1583,Turkey,TR,Düzce,admin,240633,240633
Manavgat,36.7833,31.4333,Turkey,TR,Antalya,minor,230597,230597
Ordu,40.9833,37.8833,Turkey,TR,Ordu,admin,229214,155117
Bolu,40.7347,31.6075,Turkey,TR,Bolu,admin,205525,205525
Tekirdağ,40.9778,27.5153,Turkey,TR,Tekirdağ,admin,204001,204001
Tokat,40.3139,36.5542,Turkey,TR,Tokat,admin,201294,201294
Viranşehir,37.2306,39.7653,Turkey,TR,Şanlıurfa,minor,195910,195910
Karaköprü,37.1847,38.7908,Turkey,TR,Şanlıurfa,minor,195552,195552
Karaman,37.1819,33.2181,Turkey,TR,Karaman,admin,194018,194018
Muş,38.7333,41.4911,Turkey,TR,Muş,admin,193394,193394
Kırıkkale,39.8417,33.5139,Turkey,TR,Kırıkkale,admin,193093,192473
Aydın,37.8481,27.8453,Turkey,TR,Aydın,admin,191037,191037
Çanakkale,40.1519,26.4056,Turkey,TR,Çanakkale,admin,180823,180823
Edirne,41.6769,26.5556,Turkey,TR,Edirne,admin,180327,180327
Torbalı,38.1619,27.3583,Turkey,TR,İzmir,minor,178772,178772
Ereğli,41.2792,31.4208,Turkey,TR,Zonguldak,minor,175605,175605
Bodrum,37.0378,27.4242,Turkey,TR,Muğla,minor,175000,175000
Menemen,38.6000,27.0667,Turkey,TR,İzmir,minor,174564,174564
Akhisar,38.9167,27.8333,Turkey,TR,Manisa,minor,173026,173026
Çerkezköy,41.2833,28.0000,Turkey,TR,Tekirdağ,minor,166789,166789
Siirt,37.9250,41.9458,Turkey,TR,Siirt,admin,166332,166332
Körfez,40.7833,29.7333,Turkey,TR,Kocaeli,minor,165503,165503
Talas,38.6833,35.5667,Turkey,TR,Kayseri,minor,165127,165127
Turgutlu,38.5000,27.7000,Turkey,TR,Manisa,minor,163223,163223
